id,idd,age,email,generi_preferiti
55,55,25,laurenthaba60@gmail.com,"['British Literature', 'Novels']"
56,56,56,laurenthaba61@gmail.com,"['Supernatural', 'Childrens']"
57,57,46,laurenthaba62@gmail.com,"['Literary Fiction', 'Suspense']"
58,58,80,laurenthaba63@gmail.com,"['Urban Fantasy', 'Biography']"
59,59,78,laurenthaba64@gmail.com,"['Religion', 'Drama']"
60,60,81,laurenthaba65@gmail.com,"['Novels', 'Historical Fiction']"
61,61,53,laurenthaba66@gmail.com,"['Philosophy', 'Audiobook']"
62,62,36,laurenthaba67@gmail.com,"['Chick Lit', 'Contemporary Romance']"
63,63,67,laurenthaba68@gmail.com,"['Crime', 'Adult']"
64,64,69,laurenthaba69@gmail.com,"['Magic', 'Erotica']"
65,65,41,laurenthaba70@gmail.com,"['Science Fiction Fantasy', 'Paranormal']"
66,66,42,laurenthaba71@gmail.com,"['Historical', 'Erotica']"
67,67,89,laurenthaba72@gmail.com,"['History', 'Classics']"
68,68,21,laurenthaba73@gmail.com,"['British Literature', 'Memoir']"
69,69,85,laurenthaba74@gmail.com,"['Science Fiction Fantasy', 'Biography']"
70,70,51,laurenthaba75@gmail.com,"['Erotica', 'Religion']"
71,71,73,laurenthaba76@gmail.com,"['Mystery Thriller', 'Literature']"
72,72,33,laurenthaba77@gmail.com,"['Adult', 'Literature']"
73,73,59,laurenthaba78@gmail.com,"['Fiction', 'Mystery']"
74,74,38,laurenthaba79@gmail.com,"['Realistic Fiction', 'Urban Fantasy']"
75,75,68,laurenthaba80@gmail.com,"['War', 'Young Adult']"
76,76,45,laurenthaba81@gmail.com,"['Novels', 'Literature']"
77,77,57,laurenthaba82@gmail.com,"['Adult Fiction', 'Erotica']"
78,78,46,laurenthaba83@gmail.com,"['Historical Fiction', 'Biography']"
79,79,79,laurenthaba84@gmail.com,"['Crime', 'Science Fiction Fantasy']"
80,80,42,laurenthaba85@gmail.com,"['Adult', 'Novels']"
81,81,55,laurenthaba86@gmail.com,"['Erotica', 'Middle Grade']"
82,82,65,laurenthaba87@gmail.com,"['American', 'Realistic Fiction']"
83,83,54,laurenthaba88@gmail.com,"['Humor', 'Contemporary Romance']"
84,84,36,laurenthaba89@gmail.com,"['Nonfiction', 'American']"
85,85,56,laurenthaba90@gmail.com,"['Crime', 'Mystery Thriller']"
86,86,50,laurenthaba91@gmail.com,"['Vampires', 'Religion']"
87,87,74,laurenthaba92@gmail.com,"['Christian', 'Classics']"
88,88,41,laurenthaba93@gmail.com,"['Literature', 'Teen']"
89,89,82,laurenthaba94@gmail.com,"['Literary Fiction', 'Philosophy']"
90,90,34,laurenthaba95@gmail.com,"['Literary Fiction', 'Childrens']"
91,91,27,laurenthaba96@gmail.com,"['Magic', 'Religion']"
92,92,25,laurenthaba97@gmail.com,"['Memoir', 'Adult Fiction']"
93,93,67,laurenthaba98@gmail.com,"['Classics', 'Urban Fantasy']"
94,94,64,laurenthaba99@gmail.com,"['Christian', 'History']"
95,95,31,laurenthaba100@gmail.com,"['Short Stories', 'British Literature']"
96,96,59,laurenthaba101@gmail.com,"['Memoir', 'Horror']"
97,97,80,laurenthaba102@gmail.com,"['Literature', 'Adventure']"
98,98,88,laurenthaba103@gmail.com,"['Short Stories', 'Suspense']"
99,99,56,laurenthaba104@gmail.com,"['Adult', 'War']"
